Path,Status,GSC_URL,Clicks,Impressions,Redirect_Destination
"/no-1-jual-game-pc-jakarta-barat","Both","https://www.kotacom.id/no-1-jual-game-pc-jakarta-barat","7","176",""
"/no-1-jual-game-pc-ponorogo","Both","https://www.kotacom.id/no-1-jual-game-pc-ponorogo","7","191",""
"/online-jasa-install-software-sketchup-surabaya-sidoarjo","Both","https://www.kotacom.id/online-jasa-install-software-sketchup-surabaya-sidoarjo","7","190",""
"/booking","GSC Only","https://www.kotacom.id/booking","7","917","/contact"
"/product/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb","GSC Only","https://www.kotacom.id/product/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb","7","655","/products/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb"
"/rakit-pc-surabaya-pc-rakitan-surabaya","GSC Only","https://www.kotacom.id/rakit-pc-surabaya-pc-rakitan-surabaya","7","467","/jasa-rakit-pc-surabaya-murah"
"/product-tag/jual-pc-rakitan-murah-lumajang","GSC Only","https://www.kotacom.id/product-tag/jual-pc-rakitan-murah-lumajang","7","77",""
"/jasa-cetak-buku-manado","Both","https://www.kotacom.id/jasa-cetak-buku-manado","6","221","/"
"/jasa-cetak-buku-sekolah","Both","https://www.kotacom.id/jasa-cetak-buku-sekolah","6","529","/"
"/jual-software-ipos-kasir-surabaya","Both","https://www.kotacom.id/jual-software-ipos-kasir-surabaya","6","319",""
"/no-1-jual-game-pc-bogor","Both","https://www.kotacom.id/no-1-jual-game-pc-bogor","6","281",""
"/no-1-jual-game-pc-karawang","Both","https://www.kotacom.id/no-1-jual-game-pc-karawang","6","113",""
"/no-1-jual-game-pc-kudus","Both","https://www.kotacom.id/no-1-jual-game-pc-kudus","6","395",""
"/no-1-jual-game-pc-subang","Both","https://www.kotacom.id/no-1-jual-game-pc-subang","6","79",""
"/rekomendasi-jual-game-pc-madiun","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-madiun","6","155",""
"/rekomendasi-jual-game-pc-magelang","Both","https://www.kotacom.id/rekomendasi-jual-game-pc-magelang","6","200",""
